"","LE_1","LE_2","L1_1","L1_2","L3_1","L3_2","LE_IDR","L1_IDR","L3_IDR","summit_agreement","k4cluster","k11cluster","k4weights","k11weights","LE_nonNormed","L1_nonNormed","L3_nonNormed","LE_std","L1_std","L3_std","name","k4labels","variance","peak","feature","start_position","end_position","feature_strand","insideFeature","distancetoFeature","shortestDistance","fromOverlappingOrNearest"
"ELT2peak08428",2.570316,2.909802,2.918386,3.049631,3.386058,3.417085,1,0,1,7.25,0,0,"0.000","0.000","2.740","2.984","3.402","-0.902","-0.173","1.075","ELT2peak08428","Not-changing or not IDR-passing",0.111911500862583,"ELT2peak08428","WBGene00012674",19119527,19124915,"-","upstream",-837,837,"NearestLocation"
"ELT2peak08429",1.271302,1.16711,1.918386,2.169925,1.720478,2.07195,0,0,1,13,2,6,"0.785","1.000","1.219","2.044","1.896","-1.138","0.737","0.401","ELT2peak08429","Post-embryonic",0.19346136617275,"ELT2peak08429","WBGene00006639",19154106,19157674,"+","upstream",-904,159,"NearestLocation"
"ELT2peak08435",1.612339,1.59561,4.033863,4.169925,7.263376,7.590417,0,1,1,44.375,4,11,"0.697","1.000","1.604","4.102","7.427","-0.949","-0.094","1.044","ELT2peak08435","Increasing",8.53361067859508,"ELT2peak08435","WBGene00003669",19207684,19211895,"-","downstream",2377,1656,"NearestLocation"
"ELT2peak08436",2.520073,2.289507,3.207893,3.613532,4.851181,5.271887,1,1,1,37.1111111106972,4,11,"0.538","1.000","2.405","3.411","5.062","-0.910","-0.160","1.070","ELT2peak08436","Increasing",1.79923006373408,"ELT2peak08436","WBGene00003669",19207684,19211895,"-","downstream",822,20,"NearestLocation"
"ELT2peak08439",2.008268,1.862496,3.207893,3.316146,5.012243,5.515939,1,1,1,22.4444444440305,4,11,"0.603","1.000","1.935","3.262","5.264","-0.926","-0.134","1.060","ELT2peak08439","Increasing",2.80809349236658,"ELT2peak08439","WBGene00005653",19213685,19217138,"-","downstream",1409,106,"NearestLocation"
"ELT2peak08442",1.748461,1.771181,2.695994,2.9855,3.707987,3.656913,0,1,1,6.25,4,10,"0.966","1.000","1.760","2.841","3.682","-1.039","0.083","0.956","ELT2peak08442","Increasing",0.928894538221,"ELT2peak08442","WBGene00008069",19319033,19319460,"-","upstream",-520,93,"NearestLocation"
"ELT2peak08444",1.406817,1.043069,0.9855,1.333424,2.447459,2.447459,1,0,0,5,3,7,"0.972","1.000","1.225","1.159","2.447","-0.532","-0.622","1.154","ELT2peak08444","L3-high",0.526294900604333,"ELT2peak08444","WBGene00007583",19332425,19349495,"-","upstream",-2300,2300,"NearestLocation"
"ELT2peak08445",3.015942,3.315502,3.111032,2.226508,1.669851,2.321928,1,0,0,198.5,1,1,"0.618","1.000","3.166","2.669","1.996","0.946","0.100","-1.046","ELT2peak08445","LE-specific",0.344706255940083,"ELT2peak08445","WBGene00007583",19332425,19349495,"-","upstream",-4393,4393,"NearestLocation"
"ELT2peak08450",1.981384,1.662965,2.847997,2.9855,4.669851,4.884864,0,0,1,0,4,11,"0.511","1.000","1.822","2.917","4.777","-0.904","-0.171","1.074","ELT2peak08450","Increasing",2.232177442641,"ELT2peak08450","WBGene00007727",19395055,19396609,"+","upstream",-2122,1408,"NearestLocation"
"ELT2peak08451",1.444785,1.736966,2.9855,3.526069,3.212994,2.949959,0,0,1,13,2,6,"0.638","1.000","1.591","3.256","3.081","-1.149","0.670","0.479","ELT2peak08451","Post-embryonic",0.837366099724333,"ELT2peak08451","WBGene00045412",19402296,19402955,"-","downstream",932,198,"NearestLocation"
"ELT2peak08458",1.415038,1.093109,3.43296,3.773996,5.33823,5.630681,0,1,1,14.5,4,10,"0.959","1.000","1.254","3.603","5.484","-1.035","0.074","0.961","ELT2peak08458","Increasing",4.49231828767508,"ELT2peak08458","WBGene00050967",19418212,19418911,"+","downstream",1021,322,"NearestLocation"
"ELT2peak08461",1.309855,1,3.480265,3.111032,2.906891,3.603964,0,0,1,4.5,2,8,"0.458","1.000","1.155","3.296","3.255","-1.155","0.594","0.561","ELT2peak08461","Post-embryonic",1.49940072978033,"ELT2peak08461","WBGene00194803",19434387,19434753,"+","upstream",-592,114,"NearestLocation"
"ELT2peak08471",1.222393,1.036526,2.918386,2.847997,4.032422,4.417086,0,0,1,4.5,4,10,"0.970","1.000","1.129","2.883","4.225","-1.041","0.089","0.953","ELT2peak08471","Increasing",2.40936898516008,"ELT2peak08471","WBGene00195176",19457420,19458857,"+","downstream",584,584,"NearestLocation"
"ELT2peak08482",3.47032,3.662965,3.526069,3.592158,5.585873,5.643856,1,1,1,22.6666666666667,3,9,"0.989","1.000","3.567","3.559","5.615","-0.574","-0.581","1.155","ELT2peak08482","L3-high",1.403563703521,"ELT2peak08482","WBGene00012813",19519925,19533110,"-","upstream",-334,334,"NearestLocation"
"ELT2peak08486",2.420332,2.375509,3.049631,3.049631,1.562936,1.769387,1,0,0,16,2,2,"0.431","1.000","2.398","3.050","1.666","0.039","0.980","-1.019","ELT2peak08486","Post-embryonic",0.479030944553583,"ELT2peak08486","WBGene00012825",19614558,19622551,"-","upstream",-822,822,"NearestLocation"
"ELT2peak08491",1.473931,1.415037,3.408712,3.503349,5.237536,5.862496,0,1,1,9.25,4,11,"0.855","1.000","1.444","3.456","5.550","-0.993","-0.013","1.007","ELT2peak08491","Increasing",4.21441459981608,"ELT2peak08491","WBGene00012833",19670259,19671411,"+","downstream",893,893,"NearestLocation"
"ELT2peak08492",2.681824,2.521953,2.570463,2.735522,5.184424,5.562936,1,0,1,77.5,3,9,"0.994","1.000","2.602","2.653","5.374","-0.593","-0.561","1.155","ELT2peak08492","L3-high",2.51459670182408,"ELT2peak08492","WBGene00003413",19674843,19693043,"+","upstream",-1628,722,"NearestLocation"
"ELT2peak08495",2.70044,2.584962,1.432959,0.90458,2.447459,3.184424,1,0,1,38.5,1,4,"0.498","1.000","2.643","1.169","2.816","0.479","-1.149","0.670","ELT2peak08495","LE-specific",0.819276989186083,"ELT2peak08495","WBGene00013819",19727481,19727964,"+","upstream",-4696,4074,"NearestLocation"
"ELT2peak08501",0.762961,0.245112,2.333424,2.695994,3.19878,3.417085,0,0,1,0,4,10,"0.958","1.000","0.504","2.515","3.308","-1.110","0.281","0.830","ELT2peak08501","Increasing",2.08897336700408,"ELT2peak08501","WBGene00003959",19822748,19830099,"-","upstream",-648,648,"NearestLocation"
"ELT2peak08502",1.171766,1.058894,2.695994,2.695994,3.147899,3.506352,0,0,1,10.5,4,10,"0.960","1.000","1.115","2.696","3.327","-1.110","0.278","0.832","ELT2peak08502","Increasing",1.29814416416808,"ELT2peak08502","WBGene00003959",19822748,19830099,"-","upstream",-1421,1421,"NearestLocation"
"ELT2peak08503",2.091148,2.446064,5.033863,5.307428,7.263376,7.447459,1,1,1,67.2222222226361,4,10,"0.974","1.000","2.269","5.171","7.355","-1.044","0.094","0.950","ELT2peak08503","Increasing",6.51178553134608,"ELT2peak08503","WBGene00013822",19842632,19845977,"-","upstream",-173,173,"NearestLocation"
"ELT2peak08507",2.266787,2.604862,2.847997,3.070389,4.939312,5.393878,1,1,1,36.1111111106972,3,9,"0.906","1.000","2.436","2.959","5.167","-0.748","-0.387","1.136","ELT2peak08507","L3-high",2.10060761667775,"ELT2peak08507","WBGene00023519",19978620,19981882,"-","upstream",-89,89,"NearestLocation"
"ELT2peak08508",2.466318,1.921998,1.613532,1.226508,3.184425,3.928586,0,0,1,30,3,7,"0.734","1.000","2.194","1.420","3.557","-0.181","-0.897","1.078","ELT2peak08508","L3-high",1.16997510758508,"ELT2peak08508","WBGene00044211",19991207,19994189,"-","upstream",-435,435,"NearestLocation"
"ELT2peak08510",1.618321,1.971431,2.111031,2.43296,3.447459,4.417086,1,0,1,71.5,3,9,"0.851","1.000","1.795","2.272","3.932","-0.777","-0.352","1.128","ELT2peak08510","L3-high",1.25877108870358,"ELT2peak08510","WBGene00006786",19995986,20004485,"-","upstream",-981,981,"NearestLocation"
"ELT2peak08511",2.662965,2.332575,3.049631,2.847997,5.928586,6.417086,0,1,1,182.25,3,9,"0.977","1.000","2.498","2.949","6.173","-0.686","-0.461","1.147","ELT2peak08511","L3-high",4.017311441796,"ELT2peak08511","WBGene00013366",20011959,20015077,"+","upstream",-1160,131,"NearestLocation"
"ELT2peak08512",2.837102,3.369234,2.43296,2.400538,4.35435,4.129283,1,0,1,10.25,3,7,"0.721","1.000","3.103","2.417","4.242","-0.164","-0.908","1.072","ELT2peak08512","L3-high",0.849760471611584,"ELT2peak08512","WBGene00001485",20075935,20087733,"-","downstream",1658,1090,"NearestLocation"
"ELT2peak08513",2.731406,1.884523,2.500073,2.625604,5.188026,5.554589,0,1,1,8,3,9,"0.993","1.000","2.308","2.563","5.371","-0.651","-0.501","1.151","ELT2peak08513","L3-high",2.88942153591433,"ELT2peak08513","WBGene00013750",20148195,20150357,"+","upstream",-573,85,"NearestLocation"
"ELT2peak08514",0.786293,0.974465,2.918386,2.847997,2.321928,2.447459,0,0,1,109.5,2,6,"0.891","1.000","0.880","2.883","2.385","-1.121","0.800","0.322","ELT2peak08514","Post-embryonic",1.08712004684508,"ELT2peak08514","WBGene00013750",20148195,20150357,"+","downstream",59,59,"NearestLocation"
"ELT2peak08515",1.54432,1.662965,3.43296,3.38405,6.246201,6.656913,0,0,1,45.5,4,11,"0.517","1.000","1.604","3.409","6.452","-0.905","-0.168","1.074","ELT2peak08515","Increasing",6.00332818632008,"ELT2peak08515","WBGene00008945",20158523,20161788,"+","upstream",-708,63,"NearestLocation"
"ELT2peak08518",1.584962,1.415038,2.847997,2.883621,5.166277,6.091315,0,0,1,20,3,11,"0.556","1.000","1.500","2.866","5.629","-0.871","-0.221","1.092","ELT2peak08518","L3-high",4.424414632711,"ELT2peak08518","WBGene00008944",20162649,20164561,"-","upstream",-1206,1206,"NearestLocation"
"ELT2peak08520",1.658492,2.082462,1.280956,1.111031,3.74514,4.378196,0,0,1,21.5,3,7,"0.847","1.000","1.870","1.196","4.062","-0.337","-0.788","1.125","ELT2peak08520","L3-high",2.24472272170058,"ELT2peak08520","WBGene00013761",20213821,20215297,"-","downstream",684,384,"NearestLocation"
"ELT2peak08521",1.554968,1.350907,3.847997,4.017922,4.288761,4.686925,0,0,1,3.5,4,8,"0.829","1.000","1.453","3.933","4.488","-1.138","0.397","0.740","ELT2peak08521","Increasing",2.61150936883108,"ELT2peak08521","WBGene00013764",20228966,20233843,"-","downstream",3598,3310,"NearestLocation"
"ELT2peak08522",1.122857,1.49304,2.773996,2.43296,3.447459,3.617384,0,0,1,33.5,4,10,"0.983","1.000","1.308","2.603","3.532","-1.050","0.109","0.941","ELT2peak08522","Increasing",1.24826880654858,"ELT2peak08522","WBGene00013764",20228966,20233843,"-","downstream",2944,2173,"NearestLocation"
"ELT2peak08528",0.866249,0.589067,2.43296,2.333424,3.949959,3.635086,0,0,1,9.5,4,10,"0.941","1.000","0.728","2.383","3.793","-1.026","0.053","0.972","ELT2peak08528","Increasing",2.35339994779108,"ELT2peak08528","WBGene00002118",20375536,20376301,"+","upstream",-3439,2742,"NearestLocation"
"ELT2peak08529",1.444785,1.815575,3.408712,3.526069,5.534922,5.534922,0,1,1,18.5,4,11,"0.810","1.000","1.630","3.467","5.535","-0.980","-0.039","1.019","ELT2peak08529","Increasing",3.81617316856108,"ELT2peak08529","WBGene00002118",20375536,20376301,"+","upstream",-1051,401,"NearestLocation"
"ELT2peak08545",1.922832,1.784271,2.263034,2.070389,4.816693,5.506352,0,0,1,19.5,3,9,"0.990","1.000","1.854","2.167","5.162","-0.661","-0.489","1.150","ELT2peak08545","L3-high",3.33493904136033,"ELT2peak08545","WBGene00010006",20396078,20422035,"-","upstream",-1291,1291,"NearestLocation"
"ELT2peak08548",1.507795,1.508147,1.432959,1.561693,2.471306,2.517848,0,0,1,8,3,9,"0.987","1.000","1.508","1.497","2.495","-0.568","-0.587","1.155","ELT2peak08548","L3-high",0.328002378710333,"ELT2peak08548","WBGene00007119",20476748,20479089,"-","upstream",-37,37,"NearestLocation"
"ELT2peak08556",1.987927,1.900464,2.613532,2.111031,1.862497,1.184425,1,0,0,71.5,2,2,"0.442","1.000","1.944","2.362","1.523","0.002","0.999","-1.001","ELT2peak08556","Post-embryonic",0.175905542351083,"ELT2peak08556","WBGene00012629",20540395,20544192,"-","downstream",1545,639,"NearestLocation"
"ELT2peak08557",1.222392,1.163499,3.613532,3.847997,3.816693,3.769387,0,1,1,19.5,4,8,"0.531","1.000","1.193","3.731","3.793","-1.154","0.556","0.598","ELT2peak08557","Increasing",2.20081582059858,"ELT2peak08557","WBGene00012629",20540395,20544192,"-","upstream",-369,369,"NearestLocation"
"ELT2peak08558",1.908284,2.241008,2.570463,2.333424,3.477206,3.534922,0,0,1,11,3,9,"0.758","1.000","2.075","2.452","3.506","-0.813","-0.304","1.117","ELT2peak08558","L3-high",0.550413487125083,"ELT2peak08558","WBGene00012630",20546626,20547148,"-","downstream",902,184,"NearestLocation"
"ELT2peak08564",2.142222,1.842459,3.140779,2.868461,6.022367,6.211225,1,1,1,84.6666666666667,3,9,"0.803","1.000","1.992","3.005","6.117","-0.797","-0.326","1.122","ELT2peak08564","L3-high",4.62024706876275,"ELT2peak08564","WBGene00012850",20713920,20716872,"+","upstream",-1995,688,"NearestLocation"
"ELT2peak08568",2.994982,2.891475,2.333424,2.226508,0.669851,1.277534,1,0,0,6.5,1,1,"0.571","1.000","2.943","2.280","0.974","0.876","0.214","-1.090","ELT2peak08568","LE-specific",1.00422327600075,"ELT2peak08568","WBGene00004013",20752883,20760317,"+","upstream",-1870,1008,"NearestLocation"
"ELT2peak08572",2.286523,2.203533,1.799087,1.432959,5.562936,6.30544,0,0,1,3,3,7,"0.917","1.000","2.245","1.616","5.934","-0.437","-0.707","1.144","ELT2peak08572","L3-high",5.44201629380833,"ELT2peak08572","WBGene00001248",20764955,20770161,"-","upstream",-731,731,"NearestLocation"
"ELT2peak08573",0.830075,1.093109,2.111032,1.918386,3.254814,3.720478,0,0,1,44,4,11,"0.661","1.000","0.962","2.015","3.488","-0.940","-0.110","1.051","ELT2peak08573","Increasing",1.609924605429,"ELT2peak08573","WBGene00009528",20773743,20775369,"-","upstream",-2922,1296,"NearestLocation"
"ELT2peak08574",1.669851,2.040642,3.444932,3.432959,3.652574,4.032422,1,1,1,48.8333333333333,4,8,"0.861","1.000","1.855","3.439","3.842","-1.133","0.375","0.759","ELT2peak08574","Increasing",1.10335427785158,"ELT2peak08574","WBGene00001851",20780413,20785259,"+","upstream",-2363,1088,"NearestLocation"
"ELT2peak08576",1.774933,1.277534,3.280956,3.049631,3.032421,3.299902,0,0,1,5,4,8,"0.486","1.000","1.526","3.165","3.166","-1.155","0.577","0.578","ELT2peak08576","Increasing",0.895980380368,"ELT2peak08576","WBGene00001851",20780413,20785259,"+","downstream",62,62,"NearestLocation"
"ELT2peak08578",1.707819,1.580097,3.38405,3.613532,3.23173,4.123024,0,1,1,41,4,8,"0.656","1.000","1.644","3.499","3.677","-1.151","0.496","0.655","ELT2peak08578","Increasing",1.267848541141,"ELT2peak08578","WBGene00012854",20790768,20792413,"-","upstream",-1647,2,"NearestLocation"
"ELT2peak08579",1.425926,1.093109,1.748461,2.400538,2.032422,3.184424,0,0,1,44.5,4,10,"0.994","1.000","1.260","2.074","2.608","-1.062","0.138","0.924","ELT2peak08579","Increasing",0.461469335351083,"ELT2peak08579","WBGene00012854",20790768,20792413,"-","upstream",-2847,1202,"NearestLocation"
"ELT2peak08585",1.685364,1.840343,1.695994,1.630405,3.506353,3.769387,0,0,1,6,3,7,"0.972","1.000","1.763","1.663","3.638","-0.532","-0.622","1.154","ELT2peak08585","L3-high",1.23749022975975,"ELT2peak08585","WBGene00009294",20850833,20851897,"-","upstream",-1091,27,"NearestLocation"
"ELT2peak08592",0.868755,0.656045,0.9855,0.9855,3.617384,3.906891,0,0,1,14.5,3,9,"0.995","1.000","0.762","0.986","3.762","-0.643","-0.509","1.152","ELT2peak08592","L3-high",2.79298574755208,"ELT2peak08592","WBGene00044187",20910467,20914387,"+","upstream",-762,247,"NearestLocation"
"ELT2peak08593",1.807355,1.4975,3.049631,2.526069,1.669851,2.184425,1,0,0,93,2,5,"0.803","1.000","1.652","2.788","1.927","-0.793","1.123","-0.330","ELT2peak08593","Post-embryonic",0.350912543210083,"ELT2peak08593","WBGene00022203",42728,46924,"-","unmapped",34584,33548,"NearestLocation"
"ELT2peak08594",2.743225,2.683526,3.169925,3.526069,4.74514,5.288761,1,1,1,44,3,11,"0.726","1.000","2.713","3.348","5.017","-0.823","-0.290","1.113","ELT2peak08594","L3-high",1.41576800234158,"ELT2peak08594","WBGene00022203",42728,46924,"-","unmapped",31650,30893,"NearestLocation"
"ELT2peak08597",5.058894,3,2.773996,2.735522,3.643856,3.35435,0,0,1,21,1,3,"0.888","1.000","4.029","2.755","3.499","0.940","-1.051","0.111","ELT2peak08597","LE-specific",0.410023707669333,"ELT2peak08597","WBGene00284848",313274,314687,"+","upstream",-1137,609,"NearestLocation"
"ELT2peak08599",1.222393,1.559427,3.226509,2.918386,4.971021,5.110424,0,0,1,1.5,4,11,"0.786","1.000","1.391","3.072","5.041","-0.973","-0.052","1.025","ELT2peak08599","Increasing",3.33713435411458,"ELT2peak08599","WBGene00023458",322523,323214,"+","downstream",759,759,"NearestLocation"
"ELT2peak08602",1.485427,1.578536,1.189034,1.584962,3.906891,4.720478,0,0,1,9,3,7,"0.973","1.000","1.532","1.387","4.314","-0.533","-0.621","1.154","ELT2peak08602","L3-high",2.72073094412725,"ELT2peak08602","WBGene00015430",334801,347194,"-","upstream",-933,933,"NearestLocation"
"ELT2peak08611",1.850424,1.929611,2.847997,3.735522,2.92139,3.364997,1,0,1,36.625,2,6,"0.641","1.000","1.890","3.292","3.143","-1.149","0.671","0.478","ELT2peak08611","Post-embryonic",0.592900429649333,"ELT2peak08611","WBGene00022861",427043,433799,"-","upstream",-7605,849,"NearestLocation"
"ELT2peak08612",2.193246,1.969626,3.456806,3.333424,4.862496,4.906891,0,0,1,0.5,4,11,"0.806","1.000","2.081","3.395","4.885","-0.978","-0.042","1.020","ELT2peak08612","Increasing",1.96714153900158,"ELT2peak08612","WBGene00022861",427043,433799,"-","upstream",-9376,2620,"NearestLocation"
"ELT2peak08613",1.566347,1.268196,2.9855,3.43296,3.07195,3.084889,0,0,1,52.5,2,6,"0.571","1.000","1.417","3.209","3.078","-1.152","0.642","0.511","ELT2peak08613","Post-embryonic",0.99793988842275,"ELT2peak08613","WBGene00022861",427043,433799,"-","upstream",-3228,3228,"NearestLocation"
"ELT2peak08614",1.222392,1.465664,3.226509,2.773996,3.884864,4.237536,0,0,1,0.5,4,10,"0.995","1.000","1.344","3.000","4.061","-1.065","0.145","0.920","ELT2peak08614","Increasing",1.87528547829008,"ELT2peak08614","WBGene00022861",427043,433799,"-","upstream",-4541,4541,"NearestLocation"
"ELT2peak08615",1.724893,1.736966,4.408712,4.548437,4.012244,4.33823,0,1,1,32,2,6,"0.650","1.000","1.731","4.479","4.175","-1.149","0.675","0.474","ELT2peak08615","Post-embryonic",2.26936763991458,"ELT2peak08615","WBGene00022861",427043,433799,"-","unmapped",-5153,5153,"NearestLocation"
"ELT2peak08616",1.943676,1.812373,3.773996,3.918386,4.364997,4.630681,1,1,1,40.2222222222287,4,8,"0.922","1.000","1.878","3.846","4.498","-1.121","0.322","0.800","ELT2peak08616","Increasing",1.86029208367275,"ELT2peak08616","WBGene00018683",446356,450212,"-","unmapped",6019,5441,"NearestLocation"
"ELT2peak08619",2.402965,2.315502,1.400538,0.526069,0.862497,1.447459,1,0,0,3.5,1,3,"0.928","1.000","2.359","0.963","1.155","1.145","-0.699","-0.446","ELT2peak08619","LE-specific",0.57259849802175,"ELT2peak08619","WBGene00015138",501965,506943,"-","upstream",-1121,1121,"NearestLocation"
"ELT2peak08626",1.160992,1,1.695994,1.526069,2.862496,2.816693,0,0,1,58.5,3,11,"0.650","1.000","1.080","1.611","2.840","-0.846","-0.258","1.104","ELT2peak08626","L3-high",0.814210415738583,"ELT2peak08626","WBGene00194687",553340,555529,"-","downstream",934,331,"NearestLocation"
"ELT2peak08629",1.106915,1.093109,2.333424,2.169925,2.599462,3.208271,0,0,1,1,4,10,"0.998","1.000","1.100","2.252","2.904","-1.079","0.182","0.896","ELT2peak08629","Increasing",0.834261995990083,"ELT2peak08629","WBGene00003407",576318,587483,"-","upstream",-191,191,"NearestLocation"
"ELT2peak08630",1.987927,1.463947,2.613532,2.773996,3.991779,4.032422,0,0,1,3,4,11,"0.681","1.000","1.726","2.694","4.012","-0.945","-0.102","1.047","ELT2peak08630","Increasing",1.31687396298225,"ELT2peak08630","WBGene00003407",576318,587483,"-","upstream",-1525,1525,"NearestLocation"
"ELT2peak08633",1.171766,1.285755,4.695994,4.140779,3,2.915608,0,0,1,11,2,5,"0.974","1.000","1.229","4.418","2.958","-1.027","0.971","0.056","ELT2peak08633","Post-embryonic",2.54943444734575,"ELT2peak08633","WBGene00017422",602172,604922,"+","upstream",-1586,883,"NearestLocation"
"ELT2peak08635",0.854661,0.451563,2.570463,2.918386,3.720477,4.254814,0,0,1,43,4,10,"0.998","1.000","0.653","2.744","3.988","-1.073","0.168","0.906","ELT2peak08635","Increasing",2.83971668168658,"ELT2peak08635","WBGene00004011",633703,636993,"-","upstream",-584,584,"NearestLocation"
"ELT2peak08640",1.517848,1.891476,2.847997,2.918386,3.184425,3.386058,0,0,1,27,4,8,"0.929","1.000","1.705","2.883","3.285","-1.120","0.315","0.805","ELT2peak08640","Increasing",0.67480125678175,"ELT2peak08640","WBGene00020572",658477,661777,"-","upstream",-149,149,"NearestLocation"
"ELT2peak08642",2.807355,2.841302,2.333424,2.695994,0.599462,0.669851,1,0,0,68.5,1,1,"0.479","1.000","2.824","2.515","0.635","0.703","0.442","-1.145","ELT2peak08642","LE-specific",1.40418751752008,"ELT2peak08642","WBGene00017184",692978,703036,"+","upstream",-3696,2795,"NearestLocation"
"ELT2peak08645",2.125095,2.078002,2.613532,2.526069,4.288761,4.793234,1,0,1,41.125,3,9,"0.906","1.000","2.102","2.570","4.541","-0.749","-0.387","1.136","ELT2peak08645","L3-high",1.67596482865233,"ELT2peak08645","WBGene00004829",720330,725957,"-","upstream",-1683,1683,"NearestLocation"
"ELT2peak08646",3.940249,3.796467,2.613532,3.049631,3.386058,3.184425,1,0,1,45,1,3,"0.942","1.000","3.868","2.832","3.285","1.039","-0.956","-0.083","ELT2peak08646","LE-specific",0.270122959854083,"ELT2peak08646","WBGene00015364",731160,735672,"-","downstream",2187,1415,"NearestLocation"
"ELT2peak08647",2.741767,2.321928,1.695994,2.613532,3.321928,4.506352,1,0,0,18.5,3,7,"0.865","1.000","2.532","2.155","3.914","-0.362","-0.769","1.131","ELT2peak08647","L3-high",0.858055450637583,"ELT2peak08647","WBGene00000086",751211,759732,"-","upstream",-620,620,"NearestLocation"
"ELT2peak08656",1.296393,1.63743,2.526069,2.695994,3.110424,2.769387,0,0,1,94,4,8,"0.890","1.000","1.467","2.611","2.940","-1.128","0.351","0.777","ELT2peak08656","Increasing",0.597813334385333,"ELT2peak08656","WBGene00018213",830258,833760,"+","upstream",-2814,1940,"NearestLocation"
"ELT2peak08667",1.881356,1.619396,1.561693,1.489543,4.590417,5.184424,0,0,1,4,3,7,"0.965","1.000","1.750","1.526","4.887","-0.517","-0.636","1.153","ELT2peak08667","L3-high",3.53221340042508,"ELT2peak08667","WBGene00000195",950782,954233,"+","upstream",-1291,595,"NearestLocation"
"ELT2peak08672",1.655352,1.270648,1.918386,2.526069,2.584962,2.862497,0,0,1,30.5,4,10,"0.993","1.000","1.463","2.222","2.724","-1.061","0.135","0.925","ELT2peak08672","Increasing",0.40289492082175,"ELT2peak08672","WBGene00018861",1004337,1009412,"+","downstream",40,40,"NearestLocation"
"ELT2peak08673",3.009663,2.952694,4.602884,4.715894,5.816693,6.172352,1,1,1,98.8333333333333,4,10,"0.961","1.000","2.981","4.659","5.995","-1.036","0.076","0.960","ELT2peak08673","Increasing",2.27986900124475,"ELT2peak08673","WBGene00018854",1012715,1017567,"-","downstream",1952,1041,"NearestLocation"
"ELT2peak08676",3.187627,3.185555,2.655352,2.93546,6.506352,6.912345,1,1,1,31.5,3,7,"0.947","1.000","3.187","2.795","6.709","-0.484","-0.666","1.150","ELT2peak08676","L3-high",4.64696533355625,"ELT2peak08676","WBGene00018860",1038514,1046206,"-","upstream",-161,161,"NearestLocation"
"ELT2peak08679",1.177998,0.917538,2.613532,2.773996,2.447459,3.321928,0,0,1,164,4,8,"0.688","1.000","1.048","2.694","2.885","-1.150","0.480","0.669","ELT2peak08679","Increasing",1.02000869975608,"ELT2peak08679","WBGene00019365",1084214,1088148,"-","upstream",-4976,1042,"NearestLocation"
"ELT2peak08680",1.707819,1.900464,1.695994,1.333424,2.184425,2.949959,0,0,1,0.5,3,7,"0.813","1.000","1.804","1.515","2.567","-0.290","-0.823","1.113","ELT2peak08680","L3-high",0.295622950482584,"ELT2peak08680","WBGene00018634",1095547,1097013,"-","downstream",4201,3159,"NearestLocation"
"ELT2peak08681",1.967135,1.765535,2.248535,2.291604,3.788496,4.360747,0,1,1,28.125,3,9,"0.919","1.000","1.866","2.270","4.075","-0.740","-0.397","1.138","ELT2peak08681","L3-high",1.38265645554608,"ELT2peak08681","WBGene00018634",1095547,1097013,"-","downstream",2460,1815,"NearestLocation"
"ELT2peak08682",1.061928,1.16711,1.111031,0.641546,2.084889,1.801096,0,0,1,10.5,3,7,"0.857","1.000","1.115","0.876","1.943","-0.351","-0.777","1.128","ELT2peak08682","L3-high",0.313496589158083,"ELT2peak08682","WBGene00018634",1095547,1097013,"-","downstream",1165,658,"NearestLocation"
"ELT2peak08699",2.487983,2.0813,3.918386,3.38405,4.208271,4.720478,1,1,1,24.6666666666667,4,10,"0.998","1.000","2.285","3.651","4.464","-1.073","0.167","0.906","ELT2peak08699","Increasing",1.21333179585558,"ELT2peak08699","WBGene00003965",1321353,1327985,"+","upstream",-1705,938,"NearestLocation"
"ELT2peak08702",2,1.830075,4.829849,4.883621,4.769387,5.462409,0,1,1,39.25,4,8,"0.643","1.000","1.915","4.857","5.116","-1.152","0.503","0.649","ELT2peak08702","Increasing",3.16104293042258,"ELT2peak08702","WBGene00017667",1335363,1336915,"-","upstream",-1573,21,"NearestLocation"
"ELT2peak08703",1.296393,0.597901,2.263034,2.613532,2.844349,3.347923,0,0,1,15.5,4,10,"0.976","1.000","0.947","2.438","3.096","-1.102","0.252","0.850","ELT2peak08703","Increasing",1.212401810371,"ELT2peak08703","WBGene00017667",1335363,1336915,"-","upstream",-2416,864,"NearestLocation"
"ELT2peak08704",0.859822,1.415038,1.895303,1.895303,3.447459,3.906891,0,0,1,10.5,3,11,"0.660","1.000","1.137","1.895","3.677","-0.843","-0.262","1.105","ELT2peak08704","L3-high",1.699957328923,"ELT2peak08704","WBGene00017667",1335363,1336915,"-","upstream",-3544,1992,"NearestLocation"
"ELT2peak08705",2.222393,1.862496,3.065228,3.212569,3.562936,3.6386,1,1,1,20.3333333333333,4,10,"0.969","1.000","2.042","3.139","3.601","-1.106","0.264","0.841","ELT2peak08705","Increasing",0.640651156633083,"ELT2peak08705","WBGene00017668",1343837,1344410,"-","upstream",-919,346,"NearestLocation"
"ELT2peak08707",2.857981,3.067114,1.811471,2.43296,2.406817,2.769387,1,0,1,18.5,1,3,"0.902","1.000","2.963","2.122","2.588","0.962","-1.034","0.072","ELT2peak08707","LE-specific",0.177236255596083,"ELT2peak08707","WBGene00044558",1381375,1381665,"-","downstream",2007,1493,"NearestLocation"
